Title,Slug,Year,Description,ArtistName,Genres,ImageUrl
New Blue Sun,new-blue-sun,2023,"New Blue Sun is an album by André 3000 released in 2023.",André 3000,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/b509772b-0870-4c2a-b28e-70167029e829-new_blue_sun.jpg"
Moving Day,moving-day,2023,"Moving Day is an album by André 3000 released in 2023.",André 3000,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/b2869810-ce76-4696-97ce-3676931901ae-moving_day.jpg"
7 piano sketches,7-piano-sketches,2025,"7 piano sketches is an album by André 3000 released in 2025.",André 3000,Alternative,"https://d1mcd66l4tbl1o.cloudfront.net/releases/22acd1c0-546f-4456-af85-3b90d1533e91-7_piano_sketches.jpg"
Metaphorical Music,metaphorical-music,2003,"Metaphorical Music is an album by Nujabes released in 2003.",Nujabes,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/b87efc62-f1ee-43e3-8ff9-c6c552008805-metaphorical_music.jpg"
Samurai Champloo Music Record Departure,samurai-champloo-music-record-departure,2004,"Samurai Champloo Music Record Departure is an album by Nujabes released in 2004.",Nujabes,Anime,"https://d1mcd66l4tbl1o.cloudfront.net/releases/27a500c4-6b56-4d38-839b-59d6b75e64a8-samurai_champloo_music_record_departure.jpg"
Bullet,bullet,2014,"Bullet is an album by Young Thug released in 2014.",Young Thug,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a885a73b-dcc7-4ff9-ac56-8ecdcb756b7d-bullet.jpg"
Slime Season,slime-season,2015,"Slime Season is an album by Young Thug released in 2015.",Young Thug,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c4449464-44ff-45b6-bcec-f589bab17689-slime_season.jpg"
Slime Season 2,slime-season-2,2015,"Slime Season 2 is an album by Young Thug released in 2015.",Young Thug,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/dcb6e5ee-1287-44e9-aca3-2b0cafb94ec3-slime_season_2.jpg"
What a Time To Be Alive,what-a-time-to-be-alive,2015,"What a Time To Be Alive is an album by Future released in 2015.",Future,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/f2b679ea-7e65-4405-bbac-ace334c5e20c-what_a_time_to_be_alive.jpg"
EVOL,evol,2016,"EVOL is an album by Future released in 2016.",Future,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/90dfddc1-4444-4f4e-bb00-2ec9b8eb3449-evol.jpg"
Port of Miami,port-of-miami,2006,"Port of Miami is an album by Rick Ross released in 2006.",Rick Ross,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/0901963b-3e9a-4984-a674-ad95c5ac7fb4-port_of_miami.jpg"
"God Forgives, I Don't",god-forgives-i-dont,2012,"God Forgives, I Don't is an album by Rick Ross released in 2012.",Rick Ross,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/c6c7c708-67f7-44ed-b905-61f058a0b66a-god_forgives_i_dont.jpg"
Hood Billionaire,hood-billionaire,2014,"Hood Billionaire is an album by Rick Ross released in 2014.",Rick Ross,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/61ce60e0-71c7-46d2-9122-6008d80d1fa0-hood_billionaire.jpg"
Street Gossip,street-gossip,2018,"Street Gossip is an album by Lil Baby released in 2018.",Lil Baby,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/cb7b277f-8169-48aa-ab88-1496e0de9fa8-street_gossip.jpg"
Drip Harder,drip-harder,2018,"Drip Harder is an album by Lil Baby released in 2018.",Lil Baby,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/2b699f73-810a-42a5-a20b-ca736a69712a-drip_harder.jpg"
Harder Than Ever,harder-than-ever,2018,"Harder Than Ever is an album by Lil Baby released in 2018.",Lil Baby,Hip-Hop/Rap,"https://d1mcd66l4tbl1o.cloudfront.net/releases/99ee14cc-0bdb-4473-8b59-ec61606c2e10-harder_than_ever.jpg"
Kiss Land,kiss-land,2013,"Kiss Land is an album by The Weeknd released in 2013.",The Weeknd,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a127eb23-2f96-416e-9d9c-ee9b1ced1d22-kiss_land.jpg"
Beauty Behind the Madness,beauty-behind-the-madness,2015,"Beauty Behind the Madness is an album by The Weeknd released in 2015.",The Weeknd,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/8d07078e-c079-4e03-9156-0b4000743501-beauty_behind_the_madness.jpg"
Son Of Spergy,son-of-spergy,2025,"Son Of Spergy is an album by Daniel Caesar released in 2025.",Daniel Caesar,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/54ddaf0b-721a-4c9d-b25e-eb62f12469ff-son_of_spergy.jpg"
Get Lifted,get-lifted,2004,"Get Lifted is an album by John Legend released in 2004.",John Legend,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/d04f538a-29f6-4209-9c08-7e4b079dae51-get_lifted.jpg"
Once Again,once-again,2006,"Once Again is an album by John Legend released in 2006.",John Legend,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/d0c92add-abbc-4232-8c32-764ed6cb4de0-once_again.jpg"
Evolver,evolver,2008,"Evolver is an album by John Legend released in 2008.",John Legend,R&B/Soul,"https://d1mcd66l4tbl1o.cloudfront.net/releases/97496b84-20e6-41de-928a-a82e91fadc3e-evolver.jpg"
The Soul Sessions,the-soul-sessions,2003,"The Soul Sessions is an album by Joss Stone released in 2003.",Joss Stone,Pop,"https://d1mcd66l4tbl1o.cloudfront.net/releases/a345e331-edf4-474e-8705-42f8f55ad39c-the_soul_sessions.jpg"
